town,district,term,gt_page,searched_pages,searched_pages_expanded,expected,expected_extended,rationale,extracted_text,actual,correct_page_searched,actual_normalized,expected_normalized,correct_answer
andover,Andover Lake,min_lot_size,[97],[189],[192 188 189 190 191],,60000 (year-round); 30000 (seasonal),The document explicitly states the minimum lot size for the Andover Lake (AL) zone.,['d. Recommended minimum lot size: 3 acres'],3 acres,False,130680.0,,False
andover,Andover Lake,min_lot_size,[97],[22],[21 22 23 24 25],,60000 (year-round); 30000 (seasonal),,,,False,,,True
ansonia,AA Residence,min_lot_size,[ 52 150],[151],[150 151],30000,0.69,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (5, 3): \n30,000']","30,000 sq ft",True,30000.0,30000.0,True
ansonia,AA Residence,min_lot_size,[ 52 150],[167],[168 166 167],30000,0.69,,,,False,,30000.0,False
ashford,Technology Development,min_lot_size,[],[22],[21 22 23 24 25],,,,,,True,,,True
avon,Industrial Park,min_lot_size,[],[69],[68 69 70],,,"The document mentions the minimum lot area for the Industrial Park zone in two places, both times stating it as 40,000 sq. ft.","['Minimum lot area\n40,000 sq. ft.' 'CELL (3, 8): \n40,000']","40,000 sq ft",False,40000.0,,False
avon,Industrial Park,min_lot_size,[],[84],[83 84 85],,,,,,True,,,True
barkhamsted,Restricted Business,min_lot_size,[20],[21],[20 21],43560,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (3, 2): \n1']",1 acre,True,43560.0,43560.0,True
barkhamsted,General Business,min_lot_size,[20],[21],[20 21],87120,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (4, 2): \n2']",2 acres,True,87120.0,87120.0,True
beacon-falls,Planned Adaptive Reuse Development 3,min_lot_size,[121],[121],[120 121 122 123],6185520,142,"The section titled 'LOT AREA, SHAPE AND FRONTAGE' under the PARD #3 regulations explicitly states the minimum lot size.","['The existing land, consisting of 142 H acres is deemed to have the minimum area, shape and frontage required by the regulations.']",142 H acres,True,6185520.0,6185520.0,True
berlin,General Industrial,min_lot_size,[102],[103],[102],21780,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (12, 4): \n0.5']",0.5 acres,True,21780.0,21780.0,True
berlin,General Industrial,min_lot_size,[102],[90],[89 90 91 92],21780,,,,,False,,21780.0,False
berlin,Village Overlay,min_lot_size,[],[104],[104 105 103],,,The document explicitly states the minimum lot size for the MR-2 district.,['Minimum lot size in the MR-2 district shall be three acres.'],3 acres,False,130680.0,,False
berlin,Village Overlay,min_lot_size,[],[109],[108 109 110 111],,,,,,True,,,True
bethany,Housing Opportunity Development,min_lot_size,[70],[71],[70 71 72 73 74],1306800,30,The section titled 'Eligible Areas' states the minimum lot size for the Housing Opportunity Development (HOD) district.,['(a) The total combined property shall be at least (30) acres in size;'],30 acres,True,1306800.0,1306800.0,True
bethel,Commercial,min_lot_size,[72],[73],[72 73],10000,0.23,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (1, 3): \nC' 'CELL (2, 3): \n10,000']","10,000 sq ft",True,10000.0,10000.0,True
bethel,Commercial,min_lot_size,[72],[130],[129 130 131 132],10000,0.23,,,,False,,10000.0,False
bloomfield,I-1 General Industry,min_lot_size,[],[64],[64 65 63],,,,,,True,,,True
bolton,General Buiness,min_lot_size,[],[111],[112 110 111],,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (2, 2): \n40,000']","40,000 sq ft",False,40000.0,,False
bolton,General Buiness,min_lot_size,[],[75],[74 75 76 77 78],,,,,,True,,,True
